CPT_CODE,CPT_LONG_DESCRIPTION,CPT_SHORT_DESCRIPTION
00100,"ANESTHESIA FOR PROCEDURES ON SALIVARY GLANDS, INCLUDING BIOPSY","ANESTH, SALIVARY GLAND"
00102,ANESTHESIA FOR PROCEDURES ON PLASTIC REPAIR OF CLEFT LIP,"ANESTH, REPAIR OF CLEFT LIP"
00103,"ANESTHESIA FOR RECONSTRUCTIVE PROCEDURES OF EYELID (EG, BLEPHAROPLASTY, PTOSIS SURGERY)","ANESTH, BLEPHAROPLASTY"
00104,ANESTHESIA FOR ELECTROCONVULSIVE THERAPY,"ANESTH, ELECTROSHOCK"
00120,"ANESTHESIA FOR PROCEDURES ON EXTERNAL, MIDDLE, AND INNER EAR INCLUDING BIOPSY  NOT OTHERWISE SPECIFIED","ANESTH, EAR SURGERY"
00124,"ANESTHESIA FOR PROCEDURES ON EXTERNAL, MIDDLE, AND INNER EAR INCLUDING BIOPSY  OTOSCOPY","ANESTH, EAR EXAM"
00126,"ANESTHESIA FOR PROCEDURES ON EXTERNAL, MIDDLE, AND INNER EAR INCLUDING BIOPSY  TYMPANOTOMY","ANESTH, TYMPANOTOMY"
00140,ANESTHESIA FOR PROCEDURES ON EYE  NOT OTHERWISE SPECIFIED,"ANESTH, PROCEDURES ON EYE"
00142,ANESTHESIA FOR PROCEDURES ON EYE  LENS SURGERY,"ANESTH, LENS SURGERY"
00144,ANESTHESIA FOR PROCEDURES ON EYE  CORNEAL TRANSPLANT,"ANESTH, CORNEAL TRANSPLANT"
00145,ANESTHESIA FOR PROCEDURES ON EYE  VITREORETINAL SURGERY,"ANESTHES,VITREORETINAL SURGERY"
00147,ANESTHESIA FOR PROCEDURES ON EYE  IRIDECTOMY,"ANESTH, IRIDECTOMY"
00148,ANESTHESIA FOR PROCEDURES ON EYE  OPHTHALMOSCOPY,"ANESTH, EYE EXAM"
00160,ANESTHESIA FOR PROCEDURES ON NOSE AND ACCESSORY SINUSES NOT OTHERWISE SPECIFIED,"ANESTH, NOSE/SINUS SURGERY"
00162,ANESTHESIA FOR PROCEDURES ON NOSE AND ACCESSORY SINUSES RADICAL SURGERY,"ANESTH, NOSE/SINUS SURGERY"
00164,"ANESTHESIA FOR PROCEDURES ON NOSE AND ACCESSORY SINUSES BIOPSY, SOFT TISSUE","ANESTH, BIOPSY OF NOSE"
00170,"ANESTHESIA FOR INTRAORAL PROCEDURES, INCLUDING BIOPSY NOT OTHERWISE SPECIFIED","ANESTH, PROCEDURE ON MOUTH"
00172,"ANESTHESIA FOR INTRAORAL PROCEDURES, INCLUDING BIOPSY REPAIR OF CLEFT PALATE","ANESTH, CLEFT PALATE REPAIR"
00174,"ANESTHESIA FOR INTRAORAL PROCEDURES, INCLUDING BIOPSY EXCISION OF RETROPHARYNGEAL TUMOR","ANESTH, PHARYNGEAL SURGERY"
00176,"ANESTHESIA FOR INTRAORAL PROCEDURES, INCLUDING BIOPSY RADICAL SURGERY","ANESTH, PHARYNGEAL SURGERY"
00190,ANESTHESIA FOR PROCEDURES ON FACIAL BONES OR SKULL NOT OTHERWISE SPECIFIED,"ANES,FACIAL BONE/SKULL NOS"
00192,ANESTHESIA FOR PROCEDURES ON FACIAL BONES OR SKULL RADICAL SURGERY (INCLUDING PROGNATHISM),"ANES,FACE BNE/SKULL RADCL SURG"
00210,ANESTHESIA FOR INTRACRANIAL PROCEDURES NOT OTHERWISE SPECIFIED,"ANESTH, OPEN HEAD SURGERY"
00212,ANESTHESIA FOR INTRACRANIAL PROCEDURES SUBDURAL TAPS,"ANESTH, SKULL DRAINAGE"
00214,"ANESTHESIA FOR INTRACRANIAL PROCEDURES BURR HOLES, INCLUDING VENTRICULOGRAPHY","ANESTH, SKULL DRAINAGE"
00215,"ANESTHESIA FOR INTRACRANIAL PROCEDURES CRANIOPLASTY OR ELEVATION OF DEPRESSED SKULL FRACTURE, EXTRADURAL (SIMPLE OR COMPOUND)","ANES INTRACRN CRANIOPLS,XTRADR"
00216,ANESTHESIA FOR INTRACRANIAL PROCEDURES VASCULAR PROCEDURES,"ANESTH, HEAD VESSEL SURGERY"
00218,ANESTHESIA FOR INTRACRANIAL PROCEDURES PROCEDURES IN SITTING POSITION,"ANESTH, SPECIAL HEAD SURGERY"
00220,ANESTHESIA FOR INTRACRANIAL PROCEDURES CEREBROSPINAL FLUID SHUNTING PROCEDURES,"ANESTH, INTRCRN NERVE"
00222,ANESTHESIA FOR INTRACRANIAL PROCEDURES ELECTROCOAGULATION OF INTRACRANIAL NERVE,"ANESTH, HEAD NERVE SURGERY"
00300,"ANESTHESIA FOR ALL PROCEDURES ON THE INTEGUMENTARY SYSTEM, MUSCLES AND NERVES OF HEAD, NECK, AND POSTERIOR TRUNK, NOT OTHERWISE SPECIFIED","ANESTH, HEAD/NECK/PTRUNK"
46611,"ANOSCOPY WITH REMOVAL OF SINGLE TUMOR, POLYP, OR OTHER LESION BY SNARE TECHNIQUE",ANOSCOPY
46612,"ANOSCOPY WITH REMOVAL OF MULTIPLE TUMORS, POLYPS, OR OTHER LESIONS BY HOT BIOPSY FORCEPS, BIPOLAR CAUTERY OR SNARE TECHNIQUE",ANOSCOPY/ REMOVE LESIONS,
46614,"ANOSCOPY WITH CONTROL OF BLEEDING (EG, INJECTION, BIPOLAR CAUTERY, UNIPOLAR CAUTERY, LASER, HEATER PROBE, STAPLER, PLASMA COAGULATOR)",ANOSCOPY/CONTROL BLEEDING,
46615,"ANOSCOPY WITH ABLATION OF TUMOR(S), POLYP(S), OR OTHER LESION(S) NOT AMENABLE TO REMOVAL BY HOT BIOPSY FORCEPS, BIPOLAR CAUTERY OR SNARE TECHN",ANOSCOPY,E
46700,"ANOPLASTY, PLASTIC OPERATION FOR STRICTURE ADULT",REPAIR OF ANAL STRICTURE,
46705,"ANOPLASTY, PLASTIC OPERATION FOR STRICTURE INFANT",REPAIR OF ANAL STRICTURE,
46706,REPAIR OF ANAL FISTULA WITH FIBRIN GLUE,"REPR, ANAL FIST W FIBRIN GLU",
46715,"REPAIR OF LOW IMPERFORATE ANUS WITH ANOPERINEAL FISTULA (""CUT-BACK"" PROCEDURE)",REPAIR OF ANOVAGINAL FISTULA,
46716,REPAIR OF LOW IMPERFORATE ANUS WITH TRANSPOSITION OF ANOPERINEAL OR ANOVESTIBULAR FISTULA,REPAIR OF ANOVAGINAL FISTULA,
46730,REPAIR OF HIGH IMPERFORATE ANUS WITHOUT FISTULA PERINEAL OR SACROPERINEAL APPROACH,CONSTRUCTION OF ABSENT ANUS,
46735,REPAIR OF HIGH IMPERFORATE ANUS WITHOUT FISTULA COMBINED TRANSABDOMINAL AND SACROPERINEAL APPROACHES,CONSTRUCTION OF ABSENT ANUS,
46740,REPAIR OF HIGH IMPERFORATE ANUS WITH RECTOURETHRAL OR RECTOVAGINAL FISTULA PERINEAL OR SACROPERINEAL APPROACH,CONSTRUCTION OF ABSENT ANUS,
46742,REPAIR OF HIGH IMPERFORATE ANUS WITH RECTOURETHRAL OR RECTOVAGINAL FISTULA COMBINED TRANSABDOMINAL AND SACROPERINEAL APPROACHES,REPAIR OF IMPERFORATED ANUS,
46744,"REPAIR OF CLOACAL ANOMALY BY ANORECTOVAGINOPLASTY AND URETHROPLASTY, SACROPERINEAL APPROACH",REPAIR OF CLOACAL ANOMALY,
46746,"REPAIR OF CLOACAL ANOMALY BY ANORECTOVAGINOPLASTY AND URETHROPLASTY, COMBINED ABDOMINAL AND SACROPERINEAL APPROACH",REPAIR OF CLOACAL ANOMALY,
46748,"REPAIR OF CLOACAL ANOMALY BY ANORECTOVAGINOPLASTY AND URETHROPLASTY, COMBINED ABDOMINAL AND SACROPERINEAL APPROACH WITH VAGINAL LENGTHENING BY",REPAIR OF CLOACAL ANOMALY,TESTINAL GRAFT OR PEDICLE FLAPS
46750,"SPHINCTEROPLASTY, ANAL, FOR INCONTINENCE OR PROLAPSE ADULT",REPAIR OF ANAL SPHINCTER,
46751,"SPHINCTEROPLASTY, ANAL, FOR INCONTINENCE OR PROLAPSE CHILD",REPAIR OF ANAL SPHINCTER,
46753,GRAFT (THIERSCH OPERATION) FOR RECTAL INCONTINENCE AND/OR PROLAPSE,RECONSTRUCTION OF ANUS,
46754,"REMOVAL OF THIERSCH WIRE OR SUTURE, ANAL CANAL",REMOVAL OF SUTURE FROM ANUS,
46760,"SPHINCTEROPLASTY, ANAL, FOR INCONTINENCE, ADULT MUSCLE TRANSPLANT",REPAIR OF ANAL SPHINCTER,
46761,"SPHINCTEROPLASTY, ANAL, FOR INCONTINENCE, ADULT LEVATOR MUSCLE IMBRICATION (PARK POSTERIOR ANAL REPAIR)",REPAIR OF ANAL SPHINCTER,
46762,"SPHINCTEROPLASTY, ANAL, FOR INCONTINENCE, ADULT IMPLANTATION ARTIFICIAL SPHINCTER",IMPLANT ARTIFICIAL SPHINCTER,
46900,"DESTRUCTION OF LESION(S), ANUS (EG, CONDYLOMA, PAPILLOMA, MOLLUSCUM CONTAGIOSUM, HERPETIC VESICLE), SIMPLE CHEMICAL","DESTRUCTION, ANAL LESION(S)",
46910,"DESTRUCTION OF LESION(S), ANUS (EG, CONDYLOMA, PAPILLOMA, MOLLUSCUM CONTAGIOSUM, HERPETIC VESICLE), SIMPLE ELECTRODESICCATION","DESTRUCTION, ANAL LESION(S)",
46916,"DESTRUCTION OF LESION(S), ANUS (EG, CONDYLOMA, PAPILLOMA, MOLLUSCUM CONTAGIOSUM, HERPETIC VESICLE), SIMPLE CRYOSURGERY","CRYOSURGERY, ANAL LESION(S)",
46917,"DESTRUCTION OF LESION(S), ANUS (EG, CONDYLOMA, PAPILLOMA, MOLLUSCUM CONTAGIOSUM, HERPETIC VESICLE), SIMPLE LASER SURGERY","LASER SURGERY, ANAL LESIONS",
46922,"DESTRUCTION OF LESION(S), ANUS (EG, CONDYLOMA, PAPILLOMA, MOLLUSCUM CONTAGIOSUM, HERPETIC VESICLE), SIMPLE SURGICAL EXCISION",EXCISION OF ANAL LESION(S),
46924,"DESTRUCTION OF LESION(S), ANUS (EG, CONDYLOMA, PAPILLOMA, MOLLUSCUM CONTAGIOSUM, HERPETIC VESICLE), EXTENSIVE (EG, LASER SURGERY, ELECTROSURGER","DESTRUCTION, ANAL LESION(S)","CRYOSURGERY, CHEMOSURGERY)"
46934,"DESTRUCTION OF HEMORRHOIDS, ANY METHOD INTERNAL",DESTRUCTION OF HEMORRHOIDS,
46935,"DESTRUCTION OF HEMORRHOIDS, ANY METHOD EXTERNAL",DESTRUCTION OF HEMORRHOIDS,
46936,"DESTRUCTION OF HEMORRHOIDS, ANY METHOD INTERNAL AND EXTERNAL",DESTRUCTION OF HEMORRHOIDS,
46937,CRYOSURGERY OF RECTAL TUMOR BENIGN,CRYOTHERAPY OF RECTAL LESION,
46938,CRYOSURGERY OF RECTAL TUMOR MALIGNANT,CRYOTHERAPY OF RECTAL LESION,
46940,"CURETTAGE OR CAUTERY OF ANAL FISSURE, INCLUDING DILATION OF ANAL SPHINCTER (SEPARATE PROCEDURE) INITIA",TREATMENT OF ANAL FISSURE,
46942,"CURETTAGE OR CAUTERY OF ANAL FISSURE, INCLUDING DILATION OF ANAL SPHINCTER (SEPARATE PROCEDURE) SUBSEQUENT",TREATMENT OF ANAL FISSURE,
46945,LIGATION OF INTERNAL HEMORRHOIDS SINGLE PROCEDURE,LIGATION OF HEMORRHOIDS,
46946,LIGATION OF INTERNAL HEMORRHOIDS MULTIPLE PROCEDURES,LIGATION OF HEMORRHOIDS,
46999,"UNLISTED PROCEDURE, ANUS",ANUS SURGERY PROCEDURE,
47000,"BIOPSY OF LIVER, NEEDLE PERCUTANEOUS",NEEDLE BIOPSY OF LIVER,
47001,"BIOPSY OF LIVER, NEEDLE WHEN DONE FOR INDICATED PURPOSE AT TIME OF OTHER MAJOR PROCEDURE (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY PROC","NEEDLE BIOPSY, LIVER ADD-ON",RE)
47010,"HEPATOTOMY FOR OPEN DRAINAGE OF ABSCESS OR CYST, ONE OR TWO STAGES","OPEN DRAINAGE, LIVER LESION",
47011,"HEPATOTOMY FOR PERCUTANEOUS DRAINAGE OF ABSCESS OR CYST, ONE OR TWO STAGES","PERCUT DRAIN, LIVER LESION",
47015,"LAPAROTOMY, WITH ASPIRATION AND/OR INJECTION OF HEPATIC PARASITIC (EG, AMOEBIC OR ECHINOCOCCAL) CYST(S) OR ABSCESS(ES)",INJECT/ASPIRATE LIVER CYST,
47100,"BIOPSY OF LIVER, WEDGE",WEDGE BIOPSY OF LIVER,
47120,"HEPATECTOMY, RESECTION OF LIVER PARTIAL LOBECTOMY",PARTIAL REMOVAL OF LIVER,
47122,"HEPATECTOMY, RESECTION OF LIVER TRISEGMENTECTOMY",EXTENSIVE REMOVAL OF LIVER,
47125,"HEPATECTOMY, RESECTION OF LIVER TOTAL LEFT LOBECTOMY",PARTIAL REMOVAL OF LIVER,
47130,"HEPATECTOMY, RESECTION OF LIVER TOTAL RIGHT LOBECTOMY",PARTIAL REMOVAL OF LIVER,
47133,"DONOR HEPATECTOMY, WITH PREPARATION AND MAINTENANCE OF ALLOGRAFT FROM CADAVER DONOR",REMOVAL OF DONOR LIVER
47134,"DONOR HEPATECTOMY, WITH PREPARATION AND MAINTENANCE OF ALLOGRAFT PARTIAL, FROM LIVING DONOR","PARTIAL REMOVAL, DONOR LIVER"
47135,"LIVER ALLOTRANSPLANTATION ORTHOTOPIC, PARTIAL OR WHOLE, FROM CADAVER OR LIVING DONOR, ANY AGE",TRANSPLANTATION OF LIVER
47136,"LIVER ALLOTRANSPLANTATION HETEROTOPIC, PARTIAL OR WHOLE, FROM CADAVER OR LIVING DONOR, ANY AGE",TRANSPLANTATION OF LIVER
47300,MARSUPIALIZATION OF CYST OR ABSCESS OF LIVER,SURGERY FOR LIVER LESION
47350,MANAGEMENT OF LIVER HEMORRHAGE SIMPLE SUTURE OF LIVER WOUND OR INJURY,REPAIR LIVER WOUND
47360,"MANAGEMENT OF LIVER HEMORRHAGE COMPLEX SUTURE OF LIVER WOUND OR INJURY, WITH OR WITHOUT HEPATIC ARTERY LIGATION",REPAIR LIVER WOUND
47361,"MANAGEMENT OF LIVER HEMORRHAGE EXPLORATION OF HEPATIC WOUND, EXTENSIVE DEBRIDEMENT, COAGULATION AND/OR SUTURE, WITH OR WITHOUT PACKING OF LIVE",REPAIR LIVER WOUND
47362,MANAGEMENT OF LIVER HEMORRHAGE RE-EXPLORATION OF HEPATIC WOUND FOR REMOVAL OF PACKING,REPAIR LIVER WOUND
47370,"LAPAROSCOPY, SURGICAL, ABLATION OF ONE OR MORE LIVER TUMOR(S) RADIOFREQUENCY",LAPARO ABLATE LIVER TUMOR RF
47371,"LAPAROSCOPY, SURGICAL, ABLATION OF ONE OR MORE LIVER TUMOR(S) CRYOSURGICAL",LAPARO ABLATE LIVER CRYOSUG
47379,"UNLISTED LAPAROSCOPIC PROCEDURE, LIVER","UNLIST LAPAROSCOPIC PROC,LIVER"
47380,"ABLATION, OPEN, OF ONE OR MORE LIVER TUMOR(S) RADIOFREQUENCY",OPEN ABLATE LIVER TUMOR RF
47381,"ABLATION, OPEN, OF ONE OR MORE LIVER TUMOR(S) CRYOSURGICAL",OPEN ABLATE LIVER TUMOR CRYO
47382,"ABLATION, ONE OR MORE LIVER TUMOR(S), PERCUTANEOUS, RADIOFREQUENCY",PERCUT ABLATE LIVER RF
47399,"UNLISTED PROCEDURE, LIVER",LIVER SURGERY PROCEDURE
47400,"HEPATICOTOMY OR HEPATICOSTOMY WITH EXPLORATION, DRAINAGE, OR REMOVAL OF CALCULUS",INCISION OF LIVER DUCT,
47420,"CHOLEDOCHOTOMY OR CHOLEDOCHOSTOMY WITH EXPLORATION, DRAINAGE, OR REMOVAL OF CALCULUS, WITH OR WITHOUT CHOLECYSTOTOMY WITHOUT TRANSDUODENAL SPH",INCISION OF BILE DUCT,TEROTOMY OR SPHINCTEROPLASTY
47425,"CHOLEDOCHOTOMY OR CHOLEDOCHOSTOMY WITH EXPLORATION, DRAINAGE, OR REMOVAL OF CALCULUS, WITH OR WITHOUT CHOLECYSTOTOMY WITH TRANSDUODENAL SPHINC",INCISION OF BILE DUCT,OTOMY OR SPHINCTEROPLASTY
47460,"TRANSDUODENAL SPHINCTEROTOMY OR SPHINCTEROPLASTY, WITH OR WITHOUT TRANSDUODENAL EXTRACTION OF CALCULUS (SEPARATE PROCEDURE)",INCISE BILE DUCT SPHINCTER,
47480,"CHOLECYSTOTOMY OR CHOLECYSTOSTOMY WITH EXPLORATION, DRAINAGE, OR REMOVAL OF CALCULUS (SEPARATE PROCEDURE)",INCISION OF GALLBLADDER,
47490,PERCUTANEOUS CHOLECYSTOSTOMY,INCISION OF GALLBLADDER,
47500,INJECTION PROCEDURE FOR PERCUTANEOUS TRANSHEPATIC CHOLANGIOGRAPHY,INJECTION FOR LIVER X-RAYS,
47505,"INJECTION PROCEDURE FOR CHOLANGIOGRAPHY THROUGH AN EXISTING CATHETER (EG, PERCUTANEOUS TRANSHEPATIC OR T-TUBE)",INJECTION FOR LIVER X-RAYS,
47510,INTRODUCTION OF PERCUTANEOUS TRANSHEPATIC CATHETER FOR BILIARY DRAINAGE,"INSERT CATHETER, BILE DUCT",
47511,INTRODUCTION OF PERCUTANEOUS TRANSHEPATIC STENT FOR INTERNAL AND EXTERNAL BILIARY DRAINAGE,INSERT BILE DUCT DRAIN,
47525,CHANGE OF PERCUTANEOUS BILIARY DRAINAGE CATHETER,CHANGE BILE DUCT CATHETER,
47530,REVISION AND/OR REINSERTION OF TRANSHEPATIC TUBE,REVISE/REINSERT BILE TUBE,
47550,"BILIARY ENDOSCOPY, INTRAOPERATIVE (CHOLEDOCHOSCOPY) (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY PROCEDURE)",BILE DUCT ENDOSCOPY ADD-ON,
47552,"BILIARY ENDOSCOPY, PERCUTANEOUS VIA T-TUBE OR OTHER TRACT DIAGNOSTIC, WITH OR WITHOUT COLLECTION OF SPECIMEN(S) BY BRUSHING AND/OR WASHING (SE",BILIARY ENDOSCOPY THRU SKIN,ATE PROCEDURE)
47553,"BILIARY ENDOSCOPY, PERCUTANEOUS VIA T-TUBE OR OTHER TRACT WITH BIOPSY, SINGLE OR MULTIPLE",BILIARY ENDOSCOPY THRU SKIN,
47554,"BILIARY ENDOSCOPY, PERCUTANEOUS VIA T-TUBE OR OTHER TRACT WITH REMOVAL OF CALCULUS/CALCULI",BILIARY ENDOSCOPY THRU SKIN,
47555,"BILIARY ENDOSCOPY, PERCUTANEOUS VIA T-TUBE OR OTHER TRACT WITH DILATION OF BILIARY DUCT STRICTURE(S) WITHOUT STENT",BILIARY ENDOSCOPY THRU SKIN
47556,"BILIARY ENDOSCOPY, PERCUTANEOUS VIA T-TUBE OR OTHER TRACT WITH DILATION OF BILIARY DUCT STRICTURE(S) WITH STENT",BILIARY ENDOSCOPY THRU SKIN
47560,"LAPAROSCOPY, SURGICAL WITH GUIDED TRANSHEPATIC CHOLANGIOGRAPHY, WITHOUT BIOPSY",LAPAROSCOPY W/CHOLANGIO
47561,"LAPAROSCOPY, SURGICAL WITH GUIDED TRANSHEPATIC CHOLANGIOGRAPHY WITH BIOPSY",LAPARO W/CHOLANGIO/BIOPSY
47562,"LAPAROSCOPY, SURGICAL CHOLECYSTECTOMY",LAPAROSCOPIC CHOLECYSTECTOMY
47563,"LAPAROSCOPY, SURGICAL CHOLECYSTECTOMY WITH CHOLANGIOGRAPHY",LAPARO CHOLECYSTECTOMY/GRAPH
47564,"LAPAROSCOPY, SURGICAL CHOLECYSTECTOMY WITH EXPLORATION OF COMMON DUCT",LAPARO CHOLECYSTECTOMY/EXPLR
47570,"LAPAROSCOPY, SURGICAL CHOLECYSTOENTEROSTOMY",LAPARO CHOLECYSTOENTEROSTOMY
47579,"UNLISTED LAPAROSCOPY PROCEDURE, BILIARY TRACT","LAPAROSCOPE PROC, BILIARY"
47600,CHOLECYSTECTOMY ,REMOVAL OF GALLBLADDER
47605,CHOLECYSTECTOMY WITH CHOLANGIOGRAPHY,REMOVAL OF GALLBLADDER
47610,CHOLECYSTECTOMY WITH EXPLORATION OF COMMON DUCT ,REMOVAL OF GALLBLADDER
47612,CHOLECYSTECTOMY WITH EXPLORATION OF COMMON DUCT WITH CHOLEDOCHOENTEROSTOMY,REMOVAL OF GALLBLADDER
47620,"CHOLECYSTECTOMY WITH EXPLORATION OF COMMON DUCT WITH TRANSDUODENAL SPHINCTEROTOMY OR SPHINCTEROPLASTY, WITH OR WITHOUT CHOLANGIOGRAPHY",REMOVAL OF GALLBLADDER
47630,"BILIARY DUCT STONE EXTRACTION, PERCUTANEOUS VIA T-TUBE TRACT, BASKET OR SNARE (EG, BURHENNE TECHNIQUE)",REMOVE BILE DUCT STONE
47700,"EXPLORATION FOR CONGENITAL ATRESIA OF BILE DUCTS, WITHOUT REPAIR, WITH OR WITHOUT LIVER BIOPSY, WITH OR WITHOUT CHOLANGIOGRAPHY",EXPLORATION OF BILE DUCTS
47701,"PORTOENTEROSTOMY (EG, KASAI PROCEDURE)",BILE DUCT REVISION
47711,"EXCISION OF BILE DUCT TUMOR, WITH OR WITHOUT PRIMARY REPAIR OF BILE DUCT EXTRAHEPATIC",EXCISION OF BILE DUCT TUMOR
47712,"EXCISION OF BILE DUCT TUMOR, WITH OR WITHOUT PRIMARY REPAIR OF BILE DUCT INTRAHEPATIC",EXCISION OF BILE DUCT TUMOR
47715,EXCISION OF CHOLEDOCHAL CYST,EXCISION OF BILE DUCT CYST
47716,"ANASTOMOSIS, CHOLEDOCHAL CYST, WITHOUT EXCISION",FUSION OF BILE DUCT CYST
47720,CHOLECYSTOENTEROSTOMY DIRECT,FUSE GALLBLADDER & BOWEL
47721,CHOLECYSTOENTEROSTOMY WITH GASTROENTEROSTOMY,FUSE UPPER GI STRUCTURES
47740,CHOLECYSTOENTEROSTOMY ROUX-EN-Y,FUSE GALLBLADDER & BOWEL
47741,CHOLECYSTOENTEROSTOMY ROUX-EN-Y WITH GASTROENTEROSTOMY,FUSE GALLBLADDER & BOWEL
47760,"ANASTOMOSIS, OF EXTRAHEPATIC BILIARY DUCTS AND GASTROINTESTINAL TRACT",FUSE BILE DUCTS AND BOWEL
47765,"ANASTOMOSIS, OF INTRAHEPATIC DUCTS AND GASTROINTESTINAL TRACT",FUSE LIVER DUCTS & BOWEL
47780,"ANASTOMOSIS, ROUX-EN-Y, OF EXTRAHEPATIC BILIARY DUCTS AND GASTROINTESTINAL TRACT",FUSE BILE DUCTS AND BOWEL
47785,"ANASTOMOSIS, ROUX-EN-Y, OF INTRAHEPATIC BILIARY DUCTS AND GASTROINTESTINAL TRACT",FUSE BILE DUCTS AND BOWEL
47800,"RECONSTRUCTION, PLASTIC, OF EXTRAHEPATIC BILIARY DUCTS WITH END-TO-END ANASTOMOSIS",RECONSTRUCTION OF BILE DUCTS
47801,PLACEMENT OF CHOLEDOCHAL STENT,"PLACEMENT, BILE DUCT SUPPORT"
47802,U-TUBE HEPATICOENTEROSTOMY,FUSE LIVER DUCT & INTESTINE
47900,SUTURE OF EXTRAHEPATIC BILIARY DUCT FOR PRE-EXISTING INJURY (SEPARATE PROCEDURE),SUTURE BILE DUCT INJURY,
47999,"UNLISTED PROCEDURE, BILIARY TRACT",BILE TRACT SURGERY PROCEDURE,
48000,"PLACEMENT OF DRAINS, PERIPANCREATIC, FOR ACUTE PANCREATITIS ",DRAINAGE OF ABDOMEN,
48001,"PLACEMENT OF DRAINS, PERIPANCREATIC, FOR ACUTE PANCREATITIS WITH CHOLECYSTOSTOMY, GASTROSTOMY, AND JEJUNOSTOMY","PLACEMENT OF DRAIN, PANCREAS",
48005,RESECTION OR DEBRIDEMENT OF PANCREAS AND PERIPANCREATIC TISSUE FOR ACUTE NECROTIZING PANCREATITIS,RESECT/DEBRIDE PANCREAS,
48020,REMOVAL OF PANCREATIC CALCULUS,REMOVAL OF PANCREATIC STONE,
48100,"BIOPSY OF PANCREAS, OPEN (EG, FINE NEEDLE ASPIRATION, NEEDLE CORE BIOPSY, WEDGE BIOPSY)","BIOPSY OF PANCREAS, OPEN",
48102,"BIOPSY OF PANCREAS, PERCUTANEOUS NEEDLE","NEEDLE BIOPSY, PANCREAS",
48120,"EXCISION OF LESION OF PANCREAS (EG, CYST, ADENOMA)",REMOVAL OF PANCREAS LESION,
48140,"PANCREATECTOMY, DISTAL SUBTOTAL, WITH OR WITHOUT SPLENECTOMY WITHOUT PANCREATICOJEJUNOSTOMY",PARTIAL REMOVAL OF PANCREAS,
48145,"PANCREATECTOMY, DISTAL SUBTOTAL, WITH OR WITHOUT SPLENECTOMY WITH PANCREATICOJEJUNOSTOMY",PARTIAL REMOVAL OF PANCREAS,
48146,"PANCREATECTOMY, DISTAL, NEAR-TOTAL WITH PRESERVATION OF DUODENUM (CHILD-TYPE PROCEDURE)",PANCREATECTOMY,
48148,EXCISION OF AMPULLA OF VATER,REMOVAL OF PANCREATIC DUCT,
48150,"PANCREATECTOMY, PROXIMAL SUBTOTAL WITH TOTAL DUODENECTOMY, PARTIAL GASTRECTOMY, CHOLEDOCHOENTEROSTOMY AND GASTROJEJUNOSTOMY (WHIPPLE-TYPE PROCE",PARTIAL REMOVAL OF PANCREAS,E) WITH PANCREATOJEJUNOSTOMY
48152,"PANCREATECTOMY, PROXIMAL SUBTOTAL WITH TOTAL DUODENECTOMY, PARTIAL GASTRECTOMY, CHOLEDOCHOENTEROSTOMY AND GASTROJEJUNOSTOMY (WHIPPLE-TYPE PROCE",PANCREATECTOMY,E) WITHOUT PANCREATOJEJUNOSTOMY
48153,"PANCREATECTOMY, PROXIMAL SUBTOTAL WITH NEAR-TOTAL DUODENECTOMY, CHOLEDOCHOENTEROSTOMY AND DUODENOJEJUNOSTOMY (PYLORUS-SPARING, WHIPPLE-TYPE PRO",PANCREATECTOMY,URE) WITH PANCREATOJEJUNOSTOMY
48154,"PANCREATECTOMY, PROXIMAL SUBTOTAL WITH NEAR-TOTAL DUODENECTOMY, CHOLEDOCHOENTEROSTOMY AND DUODENOJEJUNOSTOMY (PYLORUS-SPARING, WHIPPLE-TYPE PRO",PANCREATECTOMY,URE) WITHOUT PANCREATOJEJUNOSTOMY
48155,"PANCREATECTOMY, TOTAL",REMOVAL OF PANCREAS,
48160,"PANCREATECTOMY, TOTAL OR SUBTOTAL, WITH AUTOLOGOUS TRANSPLANTATION OF PANCREAS OR PANCREATIC ISLET CELLS",PANCREAS REMOVAL/TRANSPLANT,
48180,"PANCREATICOJEJUNOSTOMY, SIDE-TO-SIDE ANASTOMOSIS (PUESTOW-TYPE OPERATION)",FUSE PANCREAS AND BOWEL,
48400,INJECTION PROCEDURE FOR INTRAOPERATIVE PANCREATOGRAPHY (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY PROCEDURE),"INJECTION, INTRAOP ADD-ON",
48500,MARSUPIALIZATION OF PANCREATIC CYST,SURGERY OF PANCREATIC CYST,
48510,"EXTERNAL DRAINAGE, PSEUDOCYST OF PANCREAS",DRAIN PANCREATIC PSEUDOCYST,
48511,"EXTERNAL DRAINAGE, PSEUDOCYST OF PANCREAS PERCUTANEOUS",DRAIN PANCREATIC PSEUDOCYST,
48520,INTERNAL ANASTOMOSIS OF PANCREATIC CYST TO GASTROINTESTINAL TRACT DIRECT,FUSE PANCREAS CYST AND BOWEL,
48540,INTERNAL ANASTOMOSIS OF PANCREATIC CYST TO GASTROINTESTINAL TRACT ROUX-EN-Y,FUSE PANCREAS CYST AND BOWEL,
48545,PANCREATORRHAPHY FOR INJURY,PANCREATORRHAPHY,
